2021-10-10_15-16-56.236Started
2021-10-10_15-16-56.236Local directory is: E:\Documents\08_Github Local Repo\python_trackir
2021-10-10_15-16-56.236Version: 1.0
2021-10-10_15-16-56.303Timestamp[ms], Frame Number, Roll[deg], Pitch[deg], Yaw[deg], X[m], Y[m], Z[m]
2021-10-10_15-16-58.188,1885,31909,-24.36776,-5.73046,4.10421,60.44091,0.23675,-22.36620
2021-10-10_15-16-58.196,1893,31910,-24.51818,-6.20462,4.77802,60.53880,-0.11539,-22.69999
2021-10-10_15-16-58.204,1901,31911,-24.67157,-6.62181,5.37450,60.62280,-0.43151,-23.09886
2021-10-10_15-16-58.216,1913,31912,-24.82027,-6.96743,6.01501,60.70556,-0.74371,-23.37878
2021-10-10_15-16-58.224,1921,31913,-24.95953,-7.27343,6.74481,60.77635,-1.07138,-23.56240
2021-10-10_15-16-58.232,1929,31914,-25.08927,-7.60599,7.34472,60.82978,-1.35349,-23.80359
2021-10-10_15-16-58.240,1937,31915,-25.22382,-7.90292,7.89005,60.87596,-1.60450,-24.01173
2021-10-10_15-16-58.248,1945,31916,-25.35187,-8.24446,8.44699,60.88289,-1.83997,-24.22184
2021-10-10_15-16-58.256,1953,31917,-25.46397,-8.62604,8.98607,60.88691,-2.05520,-24.39077
2021-10-10_15-16-58.264,1961,31918,-25.56178,-8.87268,9.67427,60.89566,-2.29481,-24.45910
2021-10-10_15-16-58.272,1969,31919,-25.65843,-9.05803,10.20738,60.89457,-2.49304,-24.52349
2021-10-10_15-16-58.280,1977,31920,-25.74751,-9.25389,10.69680,60.87469,-2.67247,-24.60133
2021-10-10_15-16-58.288,1985,31921,-25.82559,-9.38244,11.29102,60.85560,-2.86483,-24.59988
2021-10-10_15-16-58.296,1993,31922,-25.89712,-9.48196,11.82908,60.82589,-3.04341,-24.55656
2021-10-10_15-16-58.304,2001,31923,-25.95782,-9.58337,12.36452,60.78968,-3.21486,-24.52150
2021-10-10_15-16-58.312,2009,31924,-26.01367,-9.67715,12.82240,60.73564,-3.36254,-24.49621
2021-10-10_15-16-58.324,2021,31925,-26.06864,-9.70345,13.28194,60.68958,-3.51459,-24.41285
2021-10-10_15-16-58.332,2029,31926,-26.11646,-9.72338,13.70402,60.63774,-3.64066,-24.32416
2021-10-10_15-16-58.340,2037,31927,-26.15371,-9.70082,14.20468,60.59553,-3.78658,-24.17888
2021-10-10_15-16-58.348,2045,31928,-26.18622,-9.74256,14.66616,60.49825,-3.93046,-24.01189
2021-10-10_15-16-58.356,2053,31929,-26.21428,-9.74322,15.15459,60.39447,-4.07567,-23.78632
